instance_id,seed_path,install_dirs,package_manager,package_manager_source,dependency_class,verifier_installs_deps,all_package_dirs,note
repair-angular__angular-editor-fabric-js-01,repo/angular/angular-editor-fabric-js,.,yarn,yarn.lock,preinstalled-required,,.;projects/angular-editor-fabric-js,
repair-angular__angular-example-app-01,repo/angular/angular-example-app,.,npm,package-lock.json,preinstalled-required,,.,
repair-angular__angular-material-admin-full-01,repo/angular/angular-material-admin-full,.,npm,verifier,verifier-installs,npm install,.,
repair-angular__angular-material-dashboard-01,repo/angular/angular-material-dashboard,.,npm,verifier,verifier-installs,npm install,.,
repair-angular__angular-minesweeper-01,repo/angular/angular-minesweeper,.,npm,package-lock.json,preinstalled-required,,.,
repair-angular__angular-movie-app-01,repo/angular/angular-movie-app,.,yarn,verifier,verifier-installs,yarn install,.,
repair-angular__angular-rpg-01,repo/angular/angular-rpg,.,npm,package-lock.json,preinstalled-required,,.,
repair-angular__angular-tailwind-01,repo/angular/angular-tailwind,.,npm,package-lock.json,preinstalled-required,,.,
repair-angular__angular-tetris-01,repo/angular/angular-tetris,.,yarn,yarn.lock,preinstalled-required,,.,
repair-angular__angular-tiptap-editor-01,repo/angular/angular-tiptap-editor,.,npm,verifier,verifier-installs,npm install,.;projects/angular-tiptap-editor,
repair-angular__architectui-angular-01,repo/angular/architectui-angular-theme-free,.,npm,package-lock.json,preinstalled-required,,.,
repair-angular__casual-chess-01,repo/angular/casual-chess,.,yarn,yarn.lock,preinstalled-required,,.,
repair-angular__chatbot-angular-palm-01,repo/angular/chatbot-angular-palm,.,npm,verifier,verifier-installs,npm install,.;server,
repair-angular__code-editor-01,repo/angular/code-editor,.,yarn,verifier,verifier-installs,yarn install,.;projects/code-editor,
repair-angular__core-keeper-save-editor-01,repo/angular/core-keeper-save-editor,.,npm,package-lock.json,preinstalled-required,,.,
repair-angular__d3-car-dashboard-01,repo/angular/d3-car-dashboard,.,npm,package-lock.json,preinstalled-required,,.,
repair-angular__drumbeat-01,repo/angular/drumbeat,.,npm,package-lock.json,preinstalled-required,,.,
repair-angular__factoriolab-01,repo/angular/factoriolab,.,npm,package-lock.json,preinstalled-required,,.,
