seed_path,upstream,upstream_url,branch,commit_sha,commit_date,snapshot_fetched_at,snapshot_sha256,provenance_source
repo/angular/angular-editor-fabric-js,kevoj/angular-editor-fabric-js,https://github.com/kevoj/angular-editor-fabric-js,,,,,,project-documentation
repo/angular/angular-example-app,Ismaestro/angular-example-app,https://github.com/Ismaestro/angular-example-app,,,,,,project-documentation
repo/angular/angular-material-dashboard,soufiane-fadil/angular-material-dashboard,https://github.com/soufiane-fadil/angular-material-dashboard,master,,,2026-09-07T07:02:59.029Z,,snapshot-manifest
repo/angular/angular-minesweeper,angular/angular-cli,https://github.com/angular/angular-cli,,,,,,project-documentation
repo/angular/angular-movie-app,abidakram01/angular-movie-app,https://github.com/abidakram01/angular-movie-app,master,,,2026-09-07T18:05:26.448Z,5b9581ff5a61f81d842eef5ec63eb008fa1a84f8ff3bac5f078db78ce253df18,snapshot-manifest
repo/angular/angular-rpg,justindujardin/angular-rpg,https://github.com/justindujardin/angular-rpg,,,,,,package-metadata
repo/angular/angular-tetris,trungk18/angular-tetris,https://github.com/trungk18/angular-tetris,,,,,,project-documentation
repo/angular/architectui-angular-theme-free,DashboardPack/architectui-angular-free,https://github.com/DashboardPack/architectui-angular-free,,,,,,package-metadata
repo/angular/casual-chess,supertorpe/casual-chess,https://github.com/supertorpe/casual-chess,,,,,,package-metadata
repo/angular/chatbot-angular-palm,luixaviles/chatbot-angular-palm,https://github.com/luixaviles/chatbot-angular-palm,master,,,2026-09-07T06:28:39.383Z,,snapshot-manifest
repo/angular/code-editor,acrodata/code-editor,https://github.com/acrodata/code-editor,main,,,2026-09-07T04:20:58.354Z,,snapshot-manifest
repo/angular/core-keeper-save-editor,halilbahar/core-keeper-save-editor,https://github.com/halilbahar/core-keeper-save-editor,main,08d55dd9343431a67523a42b50d187d7439f843e,2025-08-21T16:58:52+02:00,,,snapshot-manifest
repo/angular/d3-car-dashboard,jkuri/d3-car-dashboard,https://github.com/jkuri/d3-car-dashboard,angular,7a0fa057a319b5dbed80d009a8eed6cbcd521e5c,2025-12-29T22:29:33+01:00,,,snapshot-manifest
repo/angular/drumbeat,Babali42/drumbeatrepo,https://github.com/Babali42/drumbeatrepo,,,,,,project-documentation
repo/angular/factoriolab,factoriolab/factoriolab,https://github.com/factoriolab/factoriolab,,,,,,package-metadata
repo/angular/getmando,rackandhost/getmando,https://github.com/rackandhost/getmando,main,,,2026-09-07T04:22:18.551Z,,snapshot-manifest
repo/angular/graphml-viewer,Abhi5h3k/graphml-viewer,https://github.com/Abhi5h3k/graphml-viewer,main,82834476b1ea1e2c19430ba8a67d1784dc37d07e,2023-04-16T18:14:30+05:30,,,snapshot-manifest
repo/angular/idlespace,scorzy/IdleSpace,https://github.com/scorzy/IdleSpace,master,002e66dbe69f0c60f0c14da883e3cc5d3042ad62,2019-09-21T12:01:50+02:00,,,snapshot-manifest
repo/angular/jira-clone-angular,trungvose/jira-clone-angular,https://github.com/trungvose/jira-clone-angular,,,,,,project-documentation
repo/angular/json-i18n-editor,,,,,,,,unresolved
repo/angular/material-angular-dashboard,CreativeIT/material-angular-dashboard,https://github.com/CreativeIT/material-angular-dashboard,,,,,,package-metadata
repo/angular/ng-alain,ng-alain/ng-alain,https://github.com/ng-alain/ng-alain,,,,,,package-metadata
repo/angular/ng-lite-todo,sinedied/ng-lite-todo,https://github.com/sinedied/ng-lite-todo,main,,,2026-09-07T06:29:08.866Z,,snapshot-manifest
